"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres33-117","20708","21545 29701 21516 21196 21700 21551 21701 21903 21759 21702 21333 21352 21307 21704 21307 20758 21986 29339 21519 21548 21193 21707 21749 20709 21132 21329 29323 21749 21986 20757 21513 20356 21749 29550 21710 21307 20344 21565 20501 20706 21106 21911 20533 21914 21564 29717 21328 15410 21179 21529 21307 21174 21714 21749 21531 21566 21307 21307 21717 21749 21307 21718 21749 21985 20518 20521 21307 21720 21502 21307 21986 21165 21307 21923 21307 21924 21722 21717 21986 21925 21103 21723 29762 20124 21559 21927 20916 21929 21139 21149 21760 21985 21187 21514 21503 21725 21934 21346 21142 21307 21985 21162 21935 21727 20738 21353 21936 15029 21542 21140 21985 21167 21561 21368 21937 29769 21128 20902 21340 21731 21562 21302 20704 20755 21986 21732 21757 21749 21150 21515 29393 20926 21941 20119 21307 21942 21307 21307 21986 31102 20530 21307 20122 21736 20522 21188 20535 29776 21945 21946 21307 21526 21557 21307 21525 21307 21355 21987 21307 21556 21753 20307 21739 21307 21307 21148 21951 31103 21952 21356 21307 21953 21554 20909 21559 21101 21359 14854 20301 21986 21544 20329 29346 21744 20343 20329 21326 20944 21123 20321 21985 29759 21102 21964 29910 20542 20729 14863 21966 21749 21969 21541 21970 21367 21973 21749 20946 15433 21974 20342 15446 21307 21980 21307 21365 21366 21337 20725 21330 21360 21116 21351 21563 21364 21118 20138 20756 21108 14066 21539","2021","2"
"hconres34-117","20759","29701 21516 21901 21700 21759 21307 20758 21519 29760 21132 21708 21986 21513 20356 21985 21710 21307 21307 21174 21531 21750 21920 21165 21307 20916 21149 21985 21307 21727 21985 20704 21986 21757 21307 20903 21188 21945 21946 21557 21355 21556 21753 21500 21952 21356 21307 21969 21337 20725 21360 21364","2021","2"
"hconres35-117","20946","20952","2021","2"
"hconres36-117","21333","21551 21307 21705 21986 20709 21708 20316 21986 21139 21307 21307 21353 21515 21307 21945 21753 20759 21541 21971 21367 21749 21351 21364","2021","2"
"hconres37-117","21708","NA","2021","2"
"hconres38-117","21740","21701 20952 20959 21718 21720 21128 29776 21525 15446","2021","2"
"hconres39-117","20762","29588 20955 21172 21726 21985 21530 21940 21313 29379 20538 29729 21342 15616 21307 29911 21964 21977","2021","2"
"hconres4-117","29778","29588 21198 20757 20708 20733 20517 21910 21915 21529 21715 29337 21931 21368 21340 21313 20119 15616 21951 21953 21954 21746 20310 21312 20934 21978 21314","2021","2"
"hconres40-117","21504","21506 21110 29588 21707 21749 20757 20748 29312 20958 21931 29573 21728 29778 29504 29729 15433 15616 29901 21365 21118","2021","2"
"hconres41-117","20927","21523 21116","2021","2"
